X_k,Y_k,Altura,Orientacao_k,Tempo
20.646841058307608,-300.8103838919516,-36.09858703613281,-176.4710420142394,1607527723.4815314
20.480900492150695,-300.8248754881237,-36.10324478149414,-176.48478420471397,1607527723.6824179
20.14050443221252,-300.85798542189326,-36.0804557800293,-176.52095269353995,1607527724.2887516
19.95613820086569,-300.8772713282165,-36.07790756225586,-176.519240574684,1607527724.4896946
19.815456175955042,-300.89218224914237,-36.075462341308594,-176.45177142926457,1607527724.6918688
19.6822547348638,-300.9049316909328,-36.07849502563477,-176.4197914527902,1607527724.8929186
19.560565418269142,-300.91557297992307,-36.08177947998047,-176.42927307192295,1607527725.0937798
19.380233139521852,-300.9295395634144,-36.08764266967773,-176.45267030016453,1607527725.2946887
19.17195024364435,-300.94413502576435,-36.09407043457031,-176.45977527315475,1607527725.496241
18.972355412848266,-300.9578956271329,-36.09885025024414,-176.46041269889398,1607527725.697183
18.80936154422441,-300.96890428381346,-36.10005187988281,-176.45687365923743,1607527725.8980727
18.504153808956556,-300.98817907602285,-36.07428741455078,-176.4880982179868,1607527726.299364
18.28838299418443,-301.0011996616814,-36.074989318847656,-176.47885239736965,1607527726.500072
18.145699405479142,-301.00953032314493,-36.07183456420898,-176.42236592893974,1607527726.7007618
18.025741190115518,-301.0166354199866,-36.0738525390625,-176.38431812566213,1607527726.9014664
17.88169719550594,-301.0244606295319,-36.07519912719727,-176.381606708149,1607527727.1022182
17.739809871604923,-301.0321459578425,-36.077430725097656,-176.39461337236224,1607527727.3028967
17.659174290315466,-301.0365149204831,-36.07820510864258,-176.3990431548225,1607527727.5039835
17.554498449180194,-301.04214450482874,-36.0801010131836,-176.41079263515175,1607527727.7046971
17.42866219523583,-301.0490854834423,-36.08234405517578,-176.408936198449,1607527727.9065528
17.317477840797444,-301.0556786295694,-36.083587646484375,-176.4117592747997,1607527728.1073349
17.179864204861175,-301.06413817096586,-36.08636474609375,-176.4159872201068,1607527728.3099153
16.98561856723198,-301.0761208860986,-36.091407775878906,-176.40925403181353,1607527728.5106332
16.756153329777426,-301.0883365407187,-36.09589385986328,-176.40378409794144,1607527728.711392
16.57797190692928,-301.09762342621997,-36.09810256958008,-176.39805278446764,1607527728.9121244
16.357820715258757,-301.10941291436586,-36.101322174072266,-176.39333652395723,1607527729.1128926
16.02725088987717,-301.12796746902666,-36.07257080078125,-176.42330062499326,1607527729.7179234
15.817958768078896,-301.1398642078975,-36.072940826416016,-176.39635631043396,1607527729.9188685
15.63147990505117,-301.1503872632607,-36.06784057617188,-176.3301692145328,1607527730.1195815
15.488919391732452,-301.15870699806607,-36.06842041015625,-176.30748243101974,1607527730.3202932
15.38857578188584,-301.1647894326668,-36.068946838378906,-176.30518305185205,1607527730.5209947
15.268208910179938,-301.17205427189026,-36.06943893432617,-176.31507766311967,1607527730.7216768
15.07427793265328,-301.1838824258079,-36.06981658935547,-176.33357868688674,1607527730.9223762
14.887932790868405,-301.1952091636736,-36.07023620605469,-176.33564528093308,1607527731.1231346
14.727495479157225,-301.2054201935237,-36.07036972045898,-176.34004911662748,1607527731.323907
14.547881178590126,-301.2170345681854,-36.07139587402344,-176.33927584582693,1607527731.5255632
14.38748686937635,-301.22761951812265,-36.072608947753906,-176.34199830766386,1607527731.726093
14.20922281361141,-301.2393955784491,-36.07437515258789,-176.33972145570462,1607527731.927876
14.013690666572119,-301.25272053469087,-36.076019287109375,-176.3496402553385,1607527732.1286235
13.848436934940203,-301.2642795039603,-36.07637405395508,-176.35442219303476,1607527732.329367
13.629166820093637,-301.2793510461489,-36.07729721069336,-176.35708740477273,1607527732.5304215
13.428583955796825,-301.292463614211,-36.07796096801758,-176.35504978096287,1607527732.7311945
13.260845214677444,-301.30322474419427,-36.0784797668457,-176.35342079609433,1607527732.9319913
13.10574199096184,-301.31320087015706,-36.07923889160156,-176.3506295612926,1607527733.1327386
12.91703837820036,-301.3236127263863,-36.07978439331055,-176.3359106363744,1607527733.3334627
12.734347313718756,-301.33322911083997,-36.08028411865234,-176.32170101154486,1607527733.5358605
12.56170997306946,-301.34269253931683,-36.08076477050781,-176.31872544448433,1607527733.736683
12.40382855939557,-301.3515128558927,-36.0809211730957,-176.31634449429475,1607527733.9392548
12.225782875164382,-301.3618604502313,-36.08185195922852,-176.3123332026453,1607527734.1399972
12.06600010154159,-301.3713957061254,-36.08275604248047,-176.30848171055356,1607527734.3407779
11.949981914935497,-301.3784328118819,-36.08333587646485,-176.3045727392077,1607527734.5416512
11.778431275952073,-301.38826902840145,-36.08450317382813,-176.30008675188054,1607527734.7423933
11.593663202450522,-301.398005034261,-36.08385467529297,-176.29084996923305,1607527734.9431293
11.46159329101879,-301.4049113497752,-36.08375930786133,-176.28305468713157,1607527735.1438992
11.322213212492663,-301.4122645526985,-36.07263946533203,-176.30573525766073,1607527735.344705
11.152472156048317,-301.42156137607327,-36.05305862426758,-176.33919781830298,1607527735.545398
11.031319960983073,-301.42818677340233,-36.05735778808594,-176.33322074249605,1607527735.746067
10.904121246531897,-301.43530064882316,-36.05222702026367,-176.31617575584843,1607527735.9467876
10.774628881073761,-301.44275199347663,-36.05088806152344,-176.2956433237644,1607527736.147518
10.642039547851232,-301.4507849015197,-36.04975891113281,-176.28565320454263,1607527736.3482769
10.505875480255598,-301.45903994701087,-36.04792785644531,-176.28870833950054,1607527736.5490072
10.313674718412104,-301.4704918900455,-36.04702758789063,-176.29442049008702,1607527736.7498367
10.151955002550208,-301.4801094733964,-36.04563903808594,-176.2952219275118,1607527736.9505045
10.03753041688116,-301.48710258184104,-36.044288635253906,-176.29475600233658,1607527737.151266
9.9056329010124,-301.49514906823254,-36.04255676269531,-176.29401025364305,1607527737.352014
9.766574472695332,-301.50356018739564,-36.04145812988281,-176.2870808337811,1607527737.5529122
9.595892403027522,-301.51401553483817,-36.03962326049805,-176.28155077858074,1607527737.754019
9.406153233416742,-301.52676058004556,-36.03450775146485,-176.28559778373372,1607527737.9549348
9.243589049408122,-301.53902222713657,-36.0311279296875,-176.2818965079141,1607527738.1556756
9.127135583514113,-301.548307819298,-36.02925109863281,-176.28220399758874,1607527738.3564687
8.984655436080018,-301.55964415181916,-36.025657653808594,-176.2856035292043,1607527738.5572786
8.846650192355725,-301.5702172036117,-36.023475646972656,-176.29293620241347,1607527738.758284
8.69726769179621,-301.5814606140363,-36.02096176147461,-176.2965869830226,1607527738.9588854
8.58762564202001,-301.589734864682,-36.01924514770508,-176.2962985781862,1607527739.1595945
8.492888431850746,-301.59676183180704,-36.0175666809082,-176.2808375222187,1607527739.36036
8.368842068839278,-301.6056511306872,-36.014305114746094,-176.27718537760438,1607527739.5611007
8.233728506105312,-301.61504430709357,-36.01080322265625,-176.2802220035305,1607527739.7636595
8.093675650242416,-301.6244790603845,-36.007789611816406,-176.2805547805518,1607527739.9644368
7.95116001071362,-301.6339296946322,-36.00453186035156,-176.2718577187505,1607527740.1650786
7.825247256045187,-301.6425376543415,-36.00131225585937,-176.2766005008843,1607527740.3658118
7.723469435826436,-301.649993861395,-35.99886703491211,-176.28261810008777,1607527740.5666056
7.5947584144480675,-301.6594620551503,-35.99503707885742,-176.2894969117337,1607527740.7674568
7.480714270568991,-301.6676429212824,-35.992637634277344,-176.29086623623633,1607527740.9681818
7.3830127741361125,-301.67450219239345,-35.990760803222656,-176.29027319482876,1607527741.168925
7.284188137200811,-301.68125273803713,-35.98859786987305,-176.293221015632,1607527741.3699064
7.191791614918691,-301.68839555496,-35.985816955566406,-176.28774077519927,1607527741.5707047
7.090834469231444,-301.69651808580227,-35.983131408691406,-176.28903597130125,1607527741.7714329
6.935561313173491,-301.70863612696536,-35.979644775390625,-176.29038718371493,1607527741.9721427
6.803348970498384,-301.7186024416642,-35.97750473022461,-176.29455691797776,1607527742.1728294
6.6694313014850035,-301.72829383610366,-35.97509765625,-176.3013885946674,1607527742.3735335
6.521675539282234,-301.7386535172702,-35.97127151489258,-176.30151873948358,1607527742.5742161
6.41133517463316,-301.74623185626604,-35.969600677490234,-176.30813726412,1607527742.7748847
6.279136357254859,-301.7550488469524,-35.96688842773437,-176.30770862144718,1607527742.975627
6.163564901409719,-301.7626226185355,-35.96493530273437,-176.29909999676522,1607527743.176364
6.065361656052361,-301.7694008873675,-35.963382720947266,-176.29763598810482,1607527743.3771062
5.938352844671215,-301.77934570688535,-35.96028137207031,-176.28950745314043,1607527743.5778716
5.799933419160082,-301.7899907968236,-35.957115173339844,-176.29155843121475,1607527743.7787175
5.6856900064831395,-301.7985080318931,-35.954776763916016,-176.2875346072923,1607527743.9794805
5.551550053417629,-301.80804200607787,-35.95217514038086,-176.28055606317056,1607527744.1802313
5.446057117891185,-301.81598394549064,-35.94968795776367,-176.27897583629266,1607527744.3809695
5.315247761616551,-301.82595830780684,-35.94513702392578,-176.2806766685246,1607527744.5818741
5.200027264728737,-301.83433251312516,-35.941993713378906,-176.2788344861099,1607527744.7827075
5.094325303078927,-301.8418314602501,-35.93893814086914,-176.27272755462732,1607527744.9839008
5.017627598990418,-301.84718544204264,-35.93724060058594,-176.26793786045135,1607527745.1847837
4.933766802936686,-301.8528517740151,-35.93452835083008,-176.26789841963048,1607527745.3868232
4.8731729423223555,-301.8572982892019,-35.93306350708008,-176.26629086197994,1607527745.5878437
4.825327734914916,-301.8611845713338,-35.93143844604492,-176.2630305985765,1607527745.7888458
4.771577200887632,-301.8656301604024,-35.92958068847656,-176.2600530655556,1607527745.9897945
4.68695197385606,-301.87238294567015,-35.927085876464844,-176.26138801174008,1607527746.1907194
4.601096651893707,-301.87899851283834,-35.92478561401367,-176.2608624668597,1607527746.3916447
4.543306544479663,-301.88333608109315,-35.92354965209961,-176.26280319543065,1607527746.5925415
4.432601779625464,-301.8911415383125,-35.90492630004883,-176.2789196684102,1607527746.7935007
4.354955080679221,-301.89653715294116,-35.89727783203125,-176.27713812720157,1607527746.9944384
4.069200278957383,-301.9278136292687,-35.902748107910156,-176.26508475452476,1607527748.1992486
3.921991391322825,-301.9436455256878,-35.90285873413086,-176.3011147763117,1607527748.4001696
3.8003820247398257,-301.9566901661123,-35.88123321533203,-176.25221818471482,1607527748.601067
3.5050324746821824,-301.9808920330292,-35.90607070922852,-176.2812441663484,1607527750.4067564
3.3868514380611385,-301.990268349904,-35.90227127075195,-176.27298419137492,1607527750.607592
3.3269828825950163,-301.9939818105646,-35.87941360473633,-176.17667882523546,1607527750.808592
3.131003595415772,-302.00228445501654,-35.90553665161133,-176.22407397777135,1607527752.6138885
3.048134853951004,-302.00632338442534,-35.889312744140625,-176.1737816497068,1607527752.8147302
2.907207352943084,-302.01593858361053,-35.90081787109375,-176.1985490960087,1607527755.2295756
2.851135305904121,-302.01991303729926,-35.89809036254883,-176.17517487777067,1607527755.4304106
2.710097880086163,-302.1169427438338,-35.90285873413086,-176.1774873569834,1607527774.4999073
2.6520840518293682,-302.15683392889196,-35.88942337036133,-176.10850089364638,1607527774.700606
2.504892147832774,-302.22169403504176,-35.9014778137207,-176.09938029651465,1607527777.3103733
2.446320040399567,-302.24897689084827,-35.90168762207031,-176.08234397831134,1607527777.511341
2.420857392831451,-302.26096346920065,-35.89450454711914,-176.01676500859145,1607527777.7124212
2.3141979915123723,-302.2908155414401,-35.90629959106445,-176.01884955452923,1607527779.7199259
2.2678866869325023,-302.30448132646524,-35.90340805053711,-175.99821147023474,1607527779.9207206
2.2423130441701113,-302.3132659020631,-35.88770294189453,-175.95180267597897,1607527780.121714
2.1148713287079697,-302.3450635493724,-35.904510498046875,-175.95666660575597,1607527781.7263598
2.0509229630914763,-302.36316921445155,-35.884552001953125,-175.87333935326407,1607527781.9271345
1.915227788670645,-302.38987004778465,-35.91374206542969,-175.89300003888127,1607527782.9302075
1.8493445154721202,-302.4017852005387,-35.903011322021484,-175.85863040831163,1607527783.1308892
1.7947860307481387,-302.41112705264567,-35.883731842041016,-175.69778304588732,1607527783.3316815
1.6377721682484487,-302.4301424001713,-35.90568923950195,-175.77042546787777,1607527784.1354947
1.5589562435188178,-302.44055538700763,-35.89508819580078,-175.76822252699873,1607527784.3362176
1.430032424110995,-302.45647174409373,-35.916316986083984,-175.74390356354596,1607527785.3392632
1.3604733173473784,-302.4654935520071,-35.913673400878906,-175.7189168273685,1607527785.5400176
1.3216921854217205,-302.4706936397398,-35.9074821472168,-175.67608593116185,1607527785.7422998
1.2871915727064465,-302.4750940917778,-35.900447845458984,-175.60179561210242,1607527785.9432046
1.2487984028260484,-302.4793965800649,-35.89866256713867,-175.52314028602214,1607527786.1440215
1.1009811584162348,-302.4961852874844,-35.91573715209961,-175.57878550448356,1607527787.147213
1.0014507235873789,-302.5077281680372,-35.91020965576172,-175.5888737873983,1607527787.34801
0.9474844155708939,-302.5139100807306,-35.90391159057617,-175.56337591410193,1607527787.548809
0.9107165746587363,-302.51793112051115,-35.900634765625,-175.51571771961545,1607527787.7495933
0.8720207227200959,-302.5219566599079,-35.89976501464844,-175.45158037572307,1607527787.9503725
0.7772875758134714,-302.53650830050395,-35.90656280517578,-175.498664898014,1607527788.55293
0.7017447125260592,-302.5473475847695,-35.91280746459961,-175.49467051197945,1607527788.7536438
0.6183229634957537,-302.5580891381327,-35.90298080444336,-175.44414480886962,1607527788.9542975
0.5249380433143208,-302.56934032772847,-35.90365219116211,-175.38076783976672,1607527789.1548688
0.4301398993223515,-302.5811633990539,-35.90542984008789,-175.33969165470666,1607527789.3555615
0.34694385919557774,-302.59107362800194,-35.9069709777832,-175.31783888483247,1607527789.5562766
0.2718512718359616,-302.59938561475235,-35.909278869628906,-175.32200709589657,1607527789.757027
0.18887817321483502,-302.607879285128,-35.91240310668945,-175.32812533042696,1607527789.9577305
0.1040046997197791,-302.61598969086043,-35.91472244262695,-175.32850847870102,1607527790.1584682
0.02353172288191338,-302.62553801817086,-35.917293548583984,-175.32812268842338,1607527790.3592288
-0.08891953729555895,-302.6398415634703,-35.92169570922852,-175.32676063894297,1607527790.5601332
-0.1983659251610615,-302.652943696332,-35.924781799316406,-175.32272911035798,1607527790.7610767
-0.29057301931766,-302.66330476151217,-35.92692565917969,-175.32297929927373,1607527790.9620278
-0.3766108921098167,-302.6725999711029,-35.928749084472656,-175.31670360494542,1607527791.1629086
-0.47131488911043723,-302.6831666802332,-35.93085861206055,-175.30767276821007,1607527791.3643599
-0.5671375211950478,-302.6956147656106,-35.93250274658203,-175.30381239757938,1607527791.5650804
